MACAddress,phoneDN,modelNumber,versionID,hardwareRevision,serialNumber,DHCPEnabled,DHCPServer,IPAddress,SubNetMask,DefaultRouter,DNSServer1,DNSServer2,DNSServer3,DomainName,AltTFTP,TFTPServer1TFTPServer2,CallManager1,CallManager2,CallManager3,CallManager4,CallManager5VLANId,AdminVLANId,CDPNeighborDeviceId,CDPNeighborIP,CDPNeighborPort,LLDPNeighborDeviceId,LLDPNeighborIP,LLDPNeighborPort,PortSpeed
B07D47D362E4,1015971083,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH192596CA,Yes,10.119.3.17,10.208.79.225,255.255.255.0,10.208.79.1,10.119.3.17,10.202.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-B01-AS02-N.net.svm.com,10.207.79.4,GigabitEthernet1/0/31,,,,"Full, 1000"
B07D47D3835E,1015978393,CP-8851,sip88xx.11-0-1-11,V01,FCH19259T7P,Yes,10.202.3.17,10.208.78.97,255.255.255.0,10.208.78.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-A01-AS01-N.net.svm.com,10.207.78.4,GigabitEthernet4/0/3,,,,"Full, 1000"
9C57AD131D0A,1015978731,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19438M78,Yes,10.202.3.17,10.208.79.27,255.255.255.0,10.208.79.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-B01-AS02-N.net.svm.com,10.207.79.4,GigabitEthernet1/0/27,,,,"Full, 1000"
B07D47D2B2A6,1015978314,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH1924912C,Yes,10.202.3.17,10.208.80.103,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet2/0/48,,,,"Full, 1000"
B07D47D3ED20,1015978863,CP-8851,sip88xx.11-0-1-11,V01,FCH19278961,Yes,10.202.3.17,10.208.79.231,255.255.255.0,10.208.79.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-B01-AS02-N.net.svm.com,10.207.79.4,GigabitEthernet1/0/21,,,,"Full, 1000"
B07D47D3125E,1015977373,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH19249GTV,Yes,10.202.3.17,10.208.78.195,255.255.255.0,10.208.78.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM712-A01-AS01-N.net.svm.com,10.207.78.4,GigabitEthernet4/0/21,,,,"Full, 1000"
B07D47D2AB82,1015977471,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH1924909G,Yes,10.202.3.17,10.208.80.106,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet3/0/39,,,,"Full, 1000"
007686CF42AA,1015978334,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH2046FEH5,Yes,10.202.3.17,10.208.76.38,255.255.255.0,10.208.76.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM711-A01-AS01-SW.net.svm.com,10.207.76.4,GigabitEthernet3/0/46,,,,"Full, 1000"
B07D47D2B34E,1015973280,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH1924914U,Yes,10.202.3.17,10.208.76.245,255.255.255.0,10.208.76.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM711-A01-AS01-SW.net.svm.com,10.207.76.4,GigabitEthernet3/0/34,,,,"Full, 1000"
B07D47D36CE2,1015974464,CP-8851,sip88xx.12-1-1SR1-4,V01,FCH192597FX,Yes,10.202.3.17,10.208.80.116,255.255.255.0,10.208.80.1,10.202.3.17,10.119.3.17,,biz.es.svm.com,No,,abscuccmsub01.voice.es.svm.com  Active,abscuccmsub02.voice.es.svm.com  Standby,bbscuccmsub03.voice.es.svm.com,,,,MEM723-A01-AS01-SE.net.svm.com,10.207.80.4,GigabitEthernet3/0/3,,,,"Full, 1000"
